ts,qArr,instArr,startEx,endEx,flops
15.422000,15.390000,15.390000,15.390000,15.422000,32000000.000000
15.470000,15.438000,15.438000,15.438000,15.470000,32000000.000000
15.581500,15.504000,15.504000,15.504000,15.581500,32000000.000000
15.589500,15.508000,15.508000,15.508000,15.589500,32000000.000000
15.600000,15.529000,15.529000,15.529000,15.600000,32000000.000000
15.818000,15.786000,15.786000,15.786000,15.818000,32000000.000000
15.863000,15.831000,15.831000,15.831000,15.863000,32000000.000000
15.907000,15.875000,15.875000,15.875000,15.907000,32000000.000000
16.002000,15.970000,15.970000,15.970000,16.002000,32000000.000000
16.144000,16.112000,16.112000,16.112000,16.144000,32000000.000000
16.194000,16.162000,16.162000,16.162000,16.194000,32000000.000000
16.271000,16.239000,16.239000,16.239000,16.271000,32000000.000000
16.392000,16.360000,16.360000,16.360000,16.392000,32000000.000000
16.482000,16.450000,16.450000,16.450000,16.482000,32000000.000000
16.565000,16.533000,16.533000,16.533000,16.565000,32000000.000000
16.625000,16.593000,16.593000,16.593000,16.625000,32000000.000000
16.692000,16.660000,16.660000,16.660000,16.692000,32000000.000000
16.841667,16.766000,16.766000,16.766000,16.841667,32000000.000000
16.874667,16.777000,16.777000,16.777000,16.874667,32000000.000000
16.887667,16.790000,16.790000,16.790000,16.887667,32000000.000000
16.894000,16.809000,16.809000,16.809000,16.894000,32000000.000000
16.998000,16.964000,16.964000,16.964000,16.998000,32000000.000000
17.028000,16.994000,16.994000,16.994000,17.028000,32000000.000000
17.162000,17.130000,17.130000,17.130000,17.162000,32000000.000000
17.222000,17.190000,17.190000,17.190000,17.222000,32000000.000000
17.339000,17.307000,17.307000,17.307000,17.339000,32000000.000000
17.384000,17.352000,17.352000,17.352000,17.384000,32000000.000000
17.437000,17.405000,17.405000,17.405000,17.437000,32000000.000000
17.472000,17.440000,17.440000,17.440000,17.472000,32000000.000000
17.644000,17.612000,17.612000,17.612000,17.644000,32000000.000000
17.815667,17.734000,17.734000,17.734000,17.815667,32000000.000000
17.852194,17.742000,17.742000,17.742000,17.852194,32000000.000000
17.860194,17.746000,17.746000,17.746000,17.860194,32000000.000000
17.915194,17.801000,17.801000,17.801000,17.915194,32000000.000000
17.922750,17.816000,17.816000,17.816000,17.922750,32000000.000000
17.926000,17.829000,17.829000,17.829000,17.926000,32000000.000000
18.002000,17.970000,17.970000,17.970000,18.002000,32000000.000000
18.200000,18.139000,18.139000,18.139000,18.200000,32000000.000000
