ts,qArr,instArr,startEx,endEx,flops
14.788953,14.788000,14.788000,14.788000,14.788953,953333.000000
14.891953,14.891000,14.891000,14.891000,14.891953,953333.000000
14.933953,14.933000,14.933000,14.933000,14.933953,953333.000000
14.985953,14.985000,14.985000,14.985000,14.985953,953333.000000
15.127953,15.127000,15.127000,15.127000,15.127953,953333.000000
15.137953,15.137000,15.137000,15.137000,15.137953,953333.000000
15.150953,15.150000,15.150000,15.150000,15.150953,953333.000000
15.269953,15.269000,15.269000,15.269000,15.269953,953333.000000
15.330953,15.330000,15.330000,15.330000,15.330953,953333.000000
15.390953,15.390000,15.390000,15.390000,15.390953,953333.000000
15.438953,15.438000,15.438000,15.438000,15.438953,953333.000000
15.504953,15.504000,15.504000,15.504000,15.504953,953333.000000
15.508953,15.508000,15.508000,15.508000,15.508953,953333.000000
15.529953,15.529000,15.529000,15.529000,15.529953,953333.000000
15.786953,15.786000,15.786000,15.786000,15.786953,953333.000000
15.831953,15.831000,15.831000,15.831000,15.831953,953333.000000
15.875953,15.875000,15.875000,15.875000,15.875953,953333.000000
15.970953,15.970000,15.970000,15.970000,15.970953,953333.000000
16.112953,16.112000,16.112000,16.112000,16.112953,953333.000000
16.162953,16.162000,16.162000,16.162000,16.162953,953333.000000
16.239953,16.239000,16.239000,16.239000,16.239953,953333.000000
16.360953,16.360000,16.360000,16.360000,16.360953,953333.000000
16.450953,16.450000,16.450000,16.450000,16.450953,953333.000000
16.533953,16.533000,16.533000,16.533000,16.533953,953333.000000
16.593953,16.593000,16.593000,16.593000,16.593953,953333.000000
16.660953,16.660000,16.660000,16.660000,16.660953,953333.000000
16.766953,16.766000,16.766000,16.766000,16.766953,953333.000000
16.777953,16.777000,16.777000,16.777000,16.777953,953333.000000
16.790953,16.790000,16.790000,16.790000,16.790953,953333.000000
16.809953,16.809000,16.809000,16.809000,16.809953,953333.000000
16.964953,16.964000,16.964000,16.964000,16.964953,953333.000000
16.994953,16.994000,16.994000,16.994000,16.994953,953333.000000
17.130953,17.130000,17.130000,17.130000,17.130953,953333.000000
17.190953,17.190000,17.190000,17.190000,17.190953,953333.000000
17.307953,17.307000,17.307000,17.307000,17.307953,953333.000000
17.352953,17.352000,17.352000,17.352000,17.352953,953333.000000
17.405953,17.405000,17.405000,17.405000,17.405953,953333.000000
17.440953,17.440000,17.440000,17.440000,17.440953,953333.000000
17.612953,17.612000,17.612000,17.612000,17.612953,953333.000000
17.734953,17.734000,17.734000,17.734000,17.734953,953333.000000
17.742953,17.742000,17.742000,17.742000,17.742953,953333.000000
17.746953,17.746000,17.746000,17.746000,17.746953,953333.000000
17.801953,17.801000,17.801000,17.801000,17.801953,953333.000000
17.816953,17.816000,17.816000,17.816000,17.816953,953333.000000
17.829953,17.829000,17.829000,17.829000,17.829953,953333.000000
17.970953,17.970000,17.970000,17.970000,17.970953,953333.000000
18.139953,18.139000,18.139000,18.139000,18.139953,953333.000000
18.142953,18.142000,18.142000,18.142000,18.142953,953333.000000
18.321953,18.321000,18.321000,18.321000,18.321953,953333.000000
18.369953,18.369000,18.369000,18.369000,18.369953,953333.000000
18.389953,18.389000,18.389000,18.389000,18.389953,953333.000000
18.458953,18.458000,18.458000,18.458000,18.458953,953333.000000
18.514953,18.514000,18.514000,18.514000,18.514953,953333.000000
18.564953,18.564000,18.564000,18.564000,18.564953,953333.000000
18.709953,18.709000,18.709000,18.709000,18.709953,953333.000000
18.730953,18.730000,18.730000,18.730000,18.730953,953333.000000
