ts,qArr,instArr,startEx,endEx,flops
267.914897,267.653000,267.684348,267.716374,267.914897,32000000.000000
267.947096,267.751000,267.751000,267.751000,267.947096,32000000.000000
267.955670,267.760000,267.760000,267.760000,267.955670,32000000.000000
267.971004,267.783000,267.783000,267.783000,267.971004,32000000.000000
268.032296,267.880000,267.880000,267.880000,268.032296,32000000.000000
268.059141,267.916000,267.916000,267.916000,268.059141,32000000.000000
268.070541,267.935000,267.935000,267.935000,268.070541,32000000.000000
268.089000,267.976000,267.976000,267.976000,268.089000,32000000.000000
268.094000,267.996000,267.996000,267.996000,268.094000,32000000.000000
268.183833,268.100000,268.100000,268.100000,268.183833,32000000.000000
268.244908,268.113000,268.113000,268.113000,268.244908,32000000.000000
268.253908,268.116000,268.116000,268.116000,268.253908,32000000.000000
268.270575,268.126000,268.126000,268.126000,268.270575,32000000.000000
268.343790,268.178000,268.178000,268.178000,268.343790,32000000.000000
268.411046,268.218000,268.218000,268.218000,268.411046,32000000.000000
268.413846,268.220000,268.220000,268.220000,268.413846,32000000.000000
268.438346,268.241000,268.241000,268.241000,268.438346,32000000.000000
268.508332,268.289000,268.289000,268.289000,268.508332,32000000.000000
268.518132,268.296000,268.296000,268.296000,268.518132,32000000.000000
268.526298,268.303000,268.303000,268.303000,268.526298,32000000.000000
268.572000,268.348000,268.348000,268.348000,268.572000,32000000.000000
268.635046,268.373000,268.373000,268.411046,268.635046,32000000.000000
268.637846,268.398000,268.413846,268.438346,268.637846,32000000.000000
268.662346,268.637846,268.637846,268.637846,268.662346,32000000.000000
268.732332,268.402000,268.438346,268.508332,268.732332,32000000.000000
268.742132,268.480000,268.572000,268.635046,268.742132,32000000.000000
268.749132,268.742132,268.742132,268.742132,268.749132,32000000.000000
268.792286,268.749132,268.749132,268.749132,268.792286,32000000.000000
268.855332,268.792286,268.792286,268.792286,268.855332,32000000.000000
268.858132,268.506000,268.635046,268.637846,268.858132,32000000.000000
268.882632,268.603000,268.637846,268.662346,268.882632,32000000.000000
268.952618,268.644000,268.662346,268.732332,268.952618,32000000.000000
268.975770,268.753000,268.753000,268.753000,268.975770,32000000.000000
268.981770,268.759000,268.759000,268.759000,268.981770,32000000.000000
269.005545,268.779000,268.779000,268.792286,269.005545,32000000.000000
269.041572,268.799000,268.799000,268.855332,269.041572,32000000.000000
269.042772,268.807000,268.855332,268.858132,269.042772,32000000.000000
269.049772,268.859000,268.859000,268.882632,269.049772,32000000.000000
269.060000,268.954000,268.954000,268.954000,269.060000,32000000.000000
269.217917,269.151000,269.151000,269.151000,269.217917,32000000.000000
269.273917,269.165000,269.165000,269.165000,269.273917,32000000.000000
269.311694,269.186000,269.186000,269.186000,269.311694,32000000.000000
269.314361,269.188000,269.188000,269.188000,269.314361,32000000.000000
269.327481,269.205000,269.205000,269.205000,269.327481,32000000.000000
269.393315,269.290000,269.290000,269.290000,269.393315,32000000.000000
269.401315,269.306000,269.306000,269.306000,269.401315,32000000.000000
269.408000,269.326000,269.326000,269.326000,269.408000,32000000.000000
269.459000,269.406000,269.406000,269.406000,269.459000,32000000.000000
269.472000,269.419000,269.419000,269.419000,269.472000,32000000.000000
269.503000,269.470000,269.470000,269.470000,269.503000,32000000.000000
269.536000,269.504000,269.504000,269.504000,269.536000,32000000.000000
269.575000,269.543000,269.543000,269.543000,269.575000,32000000.000000
269.616000,269.583000,269.583000,269.583000,269.616000,32000000.000000
269.668000,269.614000,269.614000,269.614000,269.668000,32000000.000000
269.729000,269.632000,269.632000,269.632000,269.729000,32000000.000000
269.764333,269.650000,269.650000,269.650000,269.764333,32000000.000000
269.785333,269.670000,269.670000,269.670000,269.785333,32000000.000000
269.795333,269.685000,269.685000,269.685000,269.795333,32000000.000000
269.807000,269.731000,269.731000,269.731000,269.807000,32000000.000000
269.923000,269.853000,269.853000,269.853000,269.923000,32000000.000000
269.942833,269.858000,269.858000,269.858000,269.942833,32000000.000000
270.064475,269.895000,269.895000,269.895000,270.064475,32000000.000000
270.106475,269.913000,269.913000,269.913000,270.106475,32000000.000000
270.140308,269.930000,269.930000,269.930000,270.140308,32000000.000000
270.143808,269.932000,269.932000,269.932000,270.143808,32000000.000000
270.169767,269.949000,269.949000,269.949000,270.169767,32000000.000000
270.170967,269.950000,269.950000,269.950000,270.170967,32000000.000000
270.185133,269.967000,269.967000,269.967000,270.185133,32000000.000000
270.247050,269.979000,269.979000,270.064475,270.247050,32000000.000000
270.286437,269.996000,270.064475,270.106475,270.286437,32000000.000000
270.320270,270.111000,270.111000,270.140308,270.320270,32000000.000000
270.323770,270.143000,270.143000,270.143808,270.323770,32000000.000000
270.426440,270.220000,270.220000,270.220000,270.426440,32000000.000000
270.455840,270.241000,270.241000,270.241000,270.455840,32000000.000000
270.465628,270.249000,270.249000,270.249000,270.465628,32000000.000000
270.478462,270.260000,270.260000,270.260000,270.478462,32000000.000000
270.504898,270.277000,270.277000,270.286437,270.504898,32000000.000000
270.538732,270.290000,270.290000,270.320270,270.538732,32000000.000000
270.581000,270.357000,270.357000,270.357000,270.581000,32000000.000000
270.650440,270.366000,270.366000,270.426440,270.650440,32000000.000000
270.679840,270.368000,270.426440,270.455840,270.679840,32000000.000000
270.689628,270.448000,270.478462,270.504898,270.689628,32000000.000000
270.700628,270.689628,270.689628,270.689628,270.700628,32000000.000000
270.724316,270.700628,270.700628,270.700628,270.724316,32000000.000000
270.753316,270.449000,270.504898,270.538732,270.753316,32000000.000000
270.788578,270.537000,270.538732,270.581000,270.788578,32000000.000000
270.854448,270.648000,270.648000,270.650440,270.854448,32000000.000000
270.883848,270.667000,270.667000,270.679840,270.883848,32000000.000000
270.912590,270.705000,270.705000,270.705000,270.912590,32000000.000000
270.919590,270.711000,270.711000,270.711000,270.919590,32000000.000000
270.983096,270.765000,270.765000,270.765000,270.983096,32000000.000000
270.999430,270.779000,270.779000,270.779000,270.999430,32000000.000000
271.034000,270.810000,270.810000,270.810000,271.034000,32000000.000000
271.078448,270.833000,270.833000,270.854448,271.078448,32000000.000000
271.107848,270.840000,270.854448,270.883848,271.107848,32000000.000000
271.136590,270.844000,270.883848,270.912590,271.136590,32000000.000000
271.142590,270.882000,270.912590,270.919590,271.142590,32000000.000000
271.199832,270.897000,270.919590,270.983096,271.199832,32000000.000000
271.216165,270.938000,270.999430,271.034000,271.216165,32000000.000000
271.250736,271.216165,271.216165,271.216165,271.250736,32000000.000000
271.288834,270.946000,271.034000,271.078448,271.288834,32000000.000000
271.310634,271.000000,271.078448,271.107848,271.310634,32000000.000000
271.358562,271.157000,271.157000,271.157000,271.358562,32000000.000000
271.361062,271.160000,271.160000,271.160000,271.361062,32000000.000000
271.384780,271.164000,271.164000,271.199832,271.384780,32000000.000000
271.394169,271.191000,271.199832,271.216165,271.394169,32000000.000000
271.482888,271.307000,271.307000,271.307000,271.482888,32000000.000000
271.485221,271.309000,271.309000,271.309000,271.485221,32000000.000000
271.579412,271.380000,271.380000,271.380000,271.579412,32000000.000000
271.602239,271.394000,271.394000,271.394000,271.602239,32000000.000000
271.602239,271.394000,271.394000,271.394000,271.602239,32000000.000000
271.633000,271.416000,271.416000,271.416000,271.633000,32000000.000000
271.682000,271.458000,271.458000,271.458000,271.682000,32000000.000000
271.706888,271.473000,271.473000,271.482888,271.706888,32000000.000000
