ts,qArr,instArr,startEx,endEx,flops,serv
211.000505,211.000414,211.000414,211.000414,211.000505,91000.000000,service2
214.000414,214.000000,214.000000,214.000000,214.000414,414200.000000,service1
214.000505,214.000414,214.000414,214.000414,214.000505,91000.000000,service2
217.000414,217.000000,217.000000,217.000000,217.000414,414200.000000,service1
217.000505,217.000414,217.000414,217.000414,217.000505,91000.000000,service2
220.000414,220.000000,220.000000,220.000000,220.000414,414200.000000,service1
220.000505,220.000414,220.000414,220.000414,220.000505,91000.000000,service2
223.000414,223.000000,223.000000,223.000000,223.000414,414200.000000,service1
223.000505,223.000414,223.000414,223.000414,223.000505,91000.000000,service2
226.000414,226.000000,226.000000,226.000000,226.000414,414200.000000,service1
226.000505,226.000414,226.000414,226.000414,226.000505,91000.000000,service2
229.000414,229.000000,229.000000,229.000000,229.000414,414200.000000,service1
229.000505,229.000414,229.000414,229.000414,229.000505,91000.000000,service2
232.000414,232.000000,232.000000,232.000000,232.000414,414200.000000,service1
232.000505,232.000414,232.000414,232.000414,232.000505,91000.000000,service2
235.000414,235.000000,235.000000,235.000000,235.000414,414200.000000,service1
235.000505,235.000414,235.000414,235.000414,235.000505,91000.000000,service2
238.000414,238.000000,238.000000,238.000000,238.000414,414200.000000,service1
238.000505,238.000414,238.000414,238.000414,238.000505,91000.000000,service2
241.000414,241.000000,241.000000,241.000000,241.000414,414200.000000,service1
241.000505,241.000414,241.000414,241.000414,241.000505,91000.000000,service2
244.000414,244.000000,244.000000,244.000000,244.000414,414200.000000,service1
244.000505,244.000414,244.000414,244.000414,244.000505,91000.000000,service2
247.000414,247.000000,247.000000,247.000000,247.000414,414200.000000,service1
247.000505,247.000414,247.000414,247.000414,247.000505,91000.000000,service2
250.000414,250.000000,250.000000,250.000000,250.000414,414200.000000,service1
250.000505,250.000414,250.000414,250.000414,250.000505,91000.000000,service2
253.000414,253.000000,253.000000,253.000000,253.000414,414200.000000,service1
253.000505,253.000414,253.000414,253.000414,253.000505,91000.000000,service2
256.000414,256.000000,256.000000,256.000000,256.000414,414200.000000,service1
256.000505,256.000414,256.000414,256.000414,256.000505,91000.000000,service2
259.000414,259.000000,259.000000,259.000000,259.000414,414200.000000,service1
259.000505,259.000414,259.000414,259.000414,259.000505,91000.000000,service2
262.000414,262.000000,262.000000,262.000000,262.000414,414200.000000,service1
262.000505,262.000414,262.000414,262.000414,262.000505,91000.000000,service2
265.000414,265.000000,265.000000,265.000000,265.000414,414200.000000,service1
265.000505,265.000414,265.000414,265.000414,265.000505,91000.000000,service2
268.000414,268.000000,268.000000,268.000000,268.000414,414200.000000,service1
268.000505,268.000414,268.000414,268.000414,268.000505,91000.000000,service2
271.000414,271.000000,271.000000,271.000000,271.000414,414200.000000,service1
271.000505,271.000414,271.000414,271.000414,271.000505,91000.000000,service2
274.000414,274.000000,274.000000,274.000000,274.000414,414200.000000,service1
274.000505,274.000414,274.000414,274.000414,274.000505,91000.000000,service2
277.000414,277.000000,277.000000,277.000000,277.000414,414200.000000,service1
277.000505,277.000414,277.000414,277.000414,277.000505,91000.000000,service2
280.000414,280.000000,280.000000,280.000000,280.000414,414200.000000,service1
280.000505,280.000414,280.000414,280.000414,280.000505,91000.000000,service2
283.000414,283.000000,283.000000,283.000000,283.000414,414200.000000,service1
283.000505,283.000414,283.000414,283.000414,283.000505,91000.000000,service2
286.000414,286.000000,286.000000,286.000000,286.000414,414200.000000,service1
286.000505,286.000414,286.000414,286.000414,286.000505,91000.000000,service2
289.000414,289.000000,289.000000,289.000000,289.000414,414200.000000,service1
289.000505,289.000414,289.000414,289.000414,289.000505,91000.000000,service2
292.000414,292.000000,292.000000,292.000000,292.000414,414200.000000,service1
292.000505,292.000414,292.000414,292.000414,292.000505,91000.000000,service2
295.000414,295.000000,295.000000,295.000000,295.000414,414200.000000,service1
295.000505,295.000414,295.000414,295.000414,295.000505,91000.000000,service2
298.000414,298.000000,298.000000,298.000000,298.000414,414200.000000,service1
298.000505,298.000414,298.000414,298.000414,298.000505,91000.000000,service2
4.000414,4.000000,4.000000,4.000000,4.000414,414200.000000,service1
4.003737,4.000414,4.000414,4.000414,4.003737,3323000.000000,service2
7.000414,7.000000,7.000000,7.000000,7.000414,414200.000000,service1
7.003737,7.000414,7.000414,7.000414,7.003737,3323000.000000,service2
10.000414,10.000000,10.000000,10.000000,10.000414,414200.000000,service1
10.003737,10.000414,10.000414,10.000414,10.003737,3323000.000000,service2
13.000414,13.000000,13.000000,13.000000,13.000414,414200.000000,service1
13.003737,13.000414,13.000414,13.000414,13.003737,3323000.000000,service2
16.000414,16.000000,16.000000,16.000000,16.000414,414200.000000,service1
16.003737,16.000414,16.000414,16.000414,16.003737,3323000.000000,service2
19.000414,19.000000,19.000000,19.000000,19.000414,414200.000000,service1
19.003737,19.000414,19.000414,19.000414,19.003737,3323000.000000,service2
22.000414,22.000000,22.000000,22.000000,22.000414,414200.000000,service1
22.003737,22.000414,22.000414,22.000414,22.003737,3323000.000000,service2
25.000414,25.000000,25.000000,25.000000,25.000414,414200.000000,service1
25.003737,25.000414,25.000414,25.000414,25.003737,3323000.000000,service2
28.000414,28.000000,28.000000,28.000000,28.000414,414200.000000,service1
28.003737,28.000414,28.000414,28.000414,28.003737,3323000.000000,service2
31.000414,31.000000,31.000000,31.000000,31.000414,414200.000000,service1
31.003737,31.000414,31.000414,31.000414,31.003737,3323000.000000,service2
34.000414,34.000000,34.000000,34.000000,34.000414,414200.000000,service1
34.003737,34.000414,34.000414,34.000414,34.003737,3323000.000000,service2
37.000414,37.000000,37.000000,37.000000,37.000414,414200.000000,service1
37.003737,37.000414,37.000414,37.000414,37.003737,3323000.000000,service2
40.000414,40.000000,40.000000,40.000000,40.000414,414200.000000,service1
40.003737,40.000414,40.000414,40.000414,40.003737,3323000.000000,service2
43.000414,43.000000,43.000000,43.000000,43.000414,414200.000000,service1
43.003737,43.000414,43.000414,43.000414,43.003737,3323000.000000,service2
46.000414,46.000000,46.000000,46.000000,46.000414,414200.000000,service1
46.003737,46.000414,46.000414,46.000414,46.003737,3323000.000000,service2
49.000414,49.000000,49.000000,49.000000,49.000414,414200.000000,service1
49.003737,49.000414,49.000414,49.000414,49.003737,3323000.000000,service2
52.000414,52.000000,52.000000,52.000000,52.000414,414200.000000,service1
52.003737,52.000414,52.000414,52.000414,52.003737,3323000.000000,service2
55.000414,55.000000,55.000000,55.000000,55.000414,414200.000000,service1
55.003737,55.000414,55.000414,55.000414,55.003737,3323000.000000,service2
58.000414,58.000000,58.000000,58.000000,58.000414,414200.000000,service1
58.003737,58.000414,58.000414,58.000414,58.003737,3323000.000000,service2
61.000414,61.000000,61.000000,61.000000,61.000414,414200.000000,service1
61.003737,61.000414,61.000414,61.000414,61.003737,3323000.000000,service2
64.000414,64.000000,64.000000,64.000000,64.000414,414200.000000,service1
64.003737,64.000414,64.000414,64.000414,64.003737,3323000.000000,service2
67.000414,67.000000,67.000000,67.000000,67.000414,414200.000000,service1
67.003737,67.000414,67.000414,67.000414,67.003737,3323000.000000,service2
70.000414,70.000000,70.000000,70.000000,70.000414,414200.000000,service1
70.003737,70.000414,70.000414,70.000414,70.003737,3323000.000000,service2
73.000414,73.000000,73.000000,73.000000,73.000414,414200.000000,service1
73.003737,73.000414,73.000414,73.000414,73.003737,3323000.000000,service2
