ts,qArr,instArr,startEx,endEx,flops,serv
13.793234,13.793000,13.793000,13.793000,13.793234,234400.000000,service1
13.980234,13.980000,13.980000,13.980000,13.980234,234400.000000,service1
14.125234,14.125000,14.125000,14.125000,14.125234,234400.000000,service1
14.158234,14.158000,14.158000,14.158000,14.158234,234400.000000,service1
14.306234,14.306000,14.306000,14.306000,14.306234,234400.000000,service1
14.318234,14.318000,14.318000,14.318000,14.318234,234400.000000,service1
14.401234,14.401000,14.401000,14.401000,14.401234,234400.000000,service1
14.426234,14.426000,14.426000,14.426000,14.426234,234400.000000,service1
14.516234,14.516000,14.516000,14.516000,14.516234,234400.000000,service1
14.586234,14.586000,14.586000,14.586000,14.586234,234400.000000,service1
14.725234,14.725000,14.725000,14.725000,14.725234,234400.000000,service1
14.729234,14.729000,14.729000,14.729000,14.729234,234400.000000,service1
14.788234,14.788000,14.788000,14.788000,14.788234,234400.000000,service1
14.891234,14.891000,14.891000,14.891000,14.891234,234400.000000,service1
14.933234,14.933000,14.933000,14.933000,14.933234,234400.000000,service1
14.985234,14.985000,14.985000,14.985000,14.985234,234400.000000,service1
15.127234,15.127000,15.127000,15.127000,15.127234,234400.000000,service1
15.137234,15.137000,15.137000,15.137000,15.137234,234400.000000,service1
15.150234,15.150000,15.150000,15.150000,15.150234,234400.000000,service1
15.269234,15.269000,15.269000,15.269000,15.269234,234400.000000,service1
15.330234,15.330000,15.330000,15.330000,15.330234,234400.000000,service1
15.390234,15.390000,15.390000,15.390000,15.390234,234400.000000,service1
15.438234,15.438000,15.438000,15.438000,15.438234,234400.000000,service1
15.504234,15.504000,15.504000,15.504000,15.504234,234400.000000,service1
15.508234,15.508000,15.508000,15.508000,15.508234,234400.000000,service1
15.529234,15.529000,15.529000,15.529000,15.529234,234400.000000,service1
15.786234,15.786000,15.786000,15.786000,15.786234,234400.000000,service1
15.831234,15.831000,15.831000,15.831000,15.831234,234400.000000,service1
15.875234,15.875000,15.875000,15.875000,15.875234,234400.000000,service1
15.970234,15.970000,15.970000,15.970000,15.970234,234400.000000,service1
16.112234,16.112000,16.112000,16.112000,16.112234,234400.000000,service1
16.162234,16.162000,16.162000,16.162000,16.162234,234400.000000,service1
16.239234,16.239000,16.239000,16.239000,16.239234,234400.000000,service1
16.360234,16.360000,16.360000,16.360000,16.360234,234400.000000,service1
16.450234,16.450000,16.450000,16.450000,16.450234,234400.000000,service1
16.533234,16.533000,16.533000,16.533000,16.533234,234400.000000,service1
16.593234,16.593000,16.593000,16.593000,16.593234,234400.000000,service1
16.660234,16.660000,16.660000,16.660000,16.660234,234400.000000,service1
16.766234,16.766000,16.766000,16.766000,16.766234,234400.000000,service1
16.777234,16.777000,16.777000,16.777000,16.777234,234400.000000,service1
16.790234,16.790000,16.790000,16.790000,16.790234,234400.000000,service1
16.809234,16.809000,16.809000,16.809000,16.809234,234400.000000,service1
16.964234,16.964000,16.964000,16.964000,16.964234,234400.000000,service1
16.994234,16.994000,16.994000,16.994000,16.994234,234400.000000,service1
17.130234,17.130000,17.130000,17.130000,17.130234,234400.000000,service1
17.190234,17.190000,17.190000,17.190000,17.190234,234400.000000,service1
17.307234,17.307000,17.307000,17.307000,17.307234,234400.000000,service1
17.352234,17.352000,17.352000,17.352000,17.352234,234400.000000,service1
17.405234,17.405000,17.405000,17.405000,17.405234,234400.000000,service1
17.440234,17.440000,17.440000,17.440000,17.440234,234400.000000,service1
17.612234,17.612000,17.612000,17.612000,17.612234,234400.000000,service1
17.734234,17.734000,17.734000,17.734000,17.734234,234400.000000,service1
17.742234,17.742000,17.742000,17.742000,17.742234,234400.000000,service1
17.746234,17.746000,17.746000,17.746000,17.746234,234400.000000,service1
17.801234,17.801000,17.801000,17.801000,17.801234,234400.000000,service1
17.816234,17.816000,17.816000,17.816000,17.816234,234400.000000,service1
17.829234,17.829000,17.829000,17.829000,17.829234,234400.000000,service1
17.970234,17.970000,17.970000,17.970000,17.970234,234400.000000,service1
18.139234,18.139000,18.139000,18.139000,18.139234,234400.000000,service1
18.142234,18.142000,18.142000,18.142000,18.142234,234400.000000,service1
18.321234,18.321000,18.321000,18.321000,18.321234,234400.000000,service1
18.369234,18.369000,18.369000,18.369000,18.369234,234400.000000,service1
18.389234,18.389000,18.389000,18.389000,18.389234,234400.000000,service1
18.458234,18.458000,18.458000,18.458000,18.458234,234400.000000,service1
18.514234,18.514000,18.514000,18.514000,18.514234,234400.000000,service1
18.564234,18.564000,18.564000,18.564000,18.564234,234400.000000,service1
18.709234,18.709000,18.709000,18.709000,18.709234,234400.000000,service1
18.730234,18.730000,18.730000,18.730000,18.730234,234400.000000,service1
18.750234,18.750000,18.750000,18.750000,18.750234,234400.000000,service1
18.866234,18.866000,18.866000,18.866000,18.866234,234400.000000,service1
18.947234,18.947000,18.947000,18.947000,18.947234,234400.000000,service1
18.950234,18.950000,18.950000,18.950000,18.950234,234400.000000,service1
19.109234,19.109000,19.109000,19.109000,19.109234,234400.000000,service1
19.163234,19.163000,19.163000,19.163000,19.163234,234400.000000,service1
19.220469,19.220000,19.220000,19.220000,19.220469,234400.000000,service1
19.220469,19.220000,19.220000,19.220000,19.220469,234400.000000,service1
19.249234,19.249000,19.249000,19.249000,19.249234,234400.000000,service1
19.302234,19.302000,19.302000,19.302000,19.302234,234400.000000,service1
19.507234,19.507000,19.507000,19.507000,19.507234,234400.000000,service1
19.548234,19.548000,19.548000,19.548000,19.548234,234400.000000,service1
19.619234,19.619000,19.619000,19.619000,19.619234,234400.000000,service1
19.656234,19.656000,19.656000,19.656000,19.656234,234400.000000,service1
19.710234,19.710000,19.710000,19.710000,19.710234,234400.000000,service1
19.819234,19.819000,19.819000,19.819000,19.819234,234400.000000,service1
19.838234,19.838000,19.838000,19.838000,19.838234,234400.000000,service1
19.894234,19.894000,19.894000,19.894000,19.894234,234400.000000,service1
20.252234,20.252000,20.252000,20.252000,20.252234,234400.000000,service1
20.261234,20.261000,20.261000,20.261000,20.261234,234400.000000,service1
20.291234,20.291000,20.291000,20.291000,20.291234,234400.000000,service1
20.298234,20.298000,20.298000,20.298000,20.298234,234400.000000,service1
20.340234,20.340000,20.340000,20.340000,20.340234,234400.000000,service1
20.407234,20.407000,20.407000,20.407000,20.407234,234400.000000,service1
20.468469,20.468000,20.468000,20.468000,20.468469,234400.000000,service1
20.468469,20.468000,20.468000,20.468000,20.468469,234400.000000,service1
20.469234,20.469000,20.469000,20.469000,20.469234,234400.000000,service1
20.615234,20.615000,20.615000,20.615000,20.615234,234400.000000,service1
20.720234,20.720000,20.720000,20.720000,20.720234,234400.000000,service1
20.751234,20.751000,20.751000,20.751000,20.751234,234400.000000,service1
20.825234,20.825000,20.825000,20.825000,20.825234,234400.000000,service1
20.967234,20.967000,20.967000,20.967000,20.967234,234400.000000,service1
21.204234,21.204000,21.204000,21.204000,21.204234,234400.000000,service1
21.265234,21.265000,21.265000,21.265000,21.265234,234400.000000,service1
21.273234,21.273000,21.273000,21.273000,21.273234,234400.000000,service1
21.320234,21.320000,21.320000,21.320000,21.320234,234400.000000,service1
21.350234,21.350000,21.350000,21.350000,21.350234,234400.000000,service1
21.380234,21.380000,21.380000,21.380000,21.380234,234400.000000,service1
