perc,nbn,sample,conn,load,meanLat,reqPerSec,nbC
100,2,4,23,2300,397.688,2249.25,10
100,2,4,24,2400,1086.893,2243.26,10
100,2,4,25,2500,1659.198,2256.96,10
100,2,4,26,2600,2709.572,2114.18,10
100,2,5,1,100,5.533,100.00,10
100,2,5,2,200,5.044,199.70,10
100,2,5,3,300,4.397,298.59,10
100,2,5,4,400,3.878,397.18,10
100,2,5,5,500,3.763,499.38,10
100,2,5,6,600,9.252,596.28,10
100,2,5,7,700,3.753,692.30,10
100,2,5,8,800,3.833,796.23,10
100,2,5,9,900,3.878,895.03,10
100,2,5,10,1000,3.834,997.72,10
100,2,5,11,1100,3.848,1096.05,10
100,2,5,12,1200,7.893,1193.44,10
100,2,5,13,1300,4.115,1293.21,10
100,2,5,14,1400,7.045,1395.34,10
100,2,5,15,1500,4.121,1492.36,10
100,2,5,16,1600,12.836,1591.24,10
100,2,5,17,1700,8.565,1633.75,10
100,2,5,18,1800,16.146,1791.80,10
100,2,5,19,1900,4.788,1893.32,10
100,2,5,20,2000,25.645,1991.99,10
100,2,5,21,2100,77.930,2072.35,10
100,2,5,22,2200,1034.330,2055.57,10
100,2,5,23,2300,769.284,2193.67,10
100,2,5,24,2400,1455.141,2193.10,10
100,2,5,25,2500,2075.612,2231.65,10
100,2,5,26,2600,2154.167,2192.67,10
100,2,6,1,100,5.173,99.99,10
100,2,6,2,200,5.021,199.71,10
100,2,6,3,300,4.015,298.58,10
100,2,6,4,400,3.821,397.20,10
100,2,6,5,500,20.623,499.34,10
100,2,6,6,600,3.779,596.29,10
100,2,6,7,700,3.782,692.27,10
100,2,6,8,800,12.859,796.18,10
100,2,6,9,900,37.820,895.03,10
100,2,6,10,1000,3.798,997.72,10
100,2,6,11,1100,8.781,1094.11,10
100,2,6,12,1200,3.905,1193.44,10
100,2,6,13,1300,26.288,1289.16,10
100,2,6,14,1400,3.970,1395.32,10
100,2,6,15,1500,8.839,1492.41,10
100,2,6,16,1600,30.981,1588.61,10
100,2,6,17,1700,8.884,1693.61,10
100,2,6,18,1800,29.237,1794.80,10
100,2,6,19,1900,8.226,1893.34,10
100,2,6,20,2000,12.964,1992.52,10
100,2,6,21,2100,15.231,2096.04,10
100,2,6,22,2200,37.892,2190.85,10
100,2,6,23,2300,504.376,2151.04,10
100,2,6,24,2400,1676.545,2187.65,10
100,2,6,25,2500,2055.384,2137.35,10
100,2,6,26,2600,2379.645,2135.26,10
100,2,7,1,100,5.123,99.99,10
100,2,7,2,200,4.783,199.70,10
100,2,7,3,300,4.044,298.58,10
100,2,7,4,400,3.861,397.18,10
100,2,7,5,500,3.767,499.34,10
100,2,7,6,600,10.517,596.31,10
100,2,7,7,700,3.795,692.26,10
100,2,7,8,800,3.726,796.22,10
100,2,7,9,900,3.865,895.05,10
100,2,7,10,1000,16.894,997.75,10
100,2,7,11,1100,6.329,1096.01,10
100,2,7,12,1200,3.943,1193.45,10
100,2,7,13,1300,4.017,1250.08,10
100,2,7,14,1400,17.475,1393.79,10
100,2,7,15,1500,4.006,1492.35,10
100,2,7,16,1600,28.645,1588.45,10
100,2,7,17,1700,11.047,1693.66,10
100,2,7,18,1800,11.990,1793.09,10
100,2,7,19,1900,11.414,1893.37,10
100,2,7,20,2000,38.038,1989.19,10
100,2,7,21,2100,23.535,2094.98,10
100,2,7,22,2200,108.171,2176.63,10
100,2,7,23,2300,1038.164,2092.95,10
100,2,7,24,2400,1185.703,2152.60,10
100,2,7,25,2500,1789.773,2158.33,10
100,2,7,26,2600,2195.862,2269.70,10
100,2,8,1,100,5.148,99.99,10
100,2,8,2,200,5.255,199.71,10
100,2,8,3,300,3.996,298.61,10
100,2,8,4,400,3.833,397.18,10
100,2,8,5,500,3.791,499.37,10
100,2,8,6,600,3.807,596.28,10
100,2,8,7,700,3.765,692.27,10
100,2,8,8,800,3.857,796.21,10
100,2,8,9,900,7.872,895.03,10
100,2,8,10,1000,11.852,997.67,10
100,2,8,11,1100,3.920,1096.00,10
100,2,8,12,1200,3.898,1193.43,10
100,2,8,13,1300,3.943,1293.18,10
100,2,8,14,1400,4.030,1395.32,10
100,2,8,15,1500,4.291,1492.31,10
100,2,8,16,1600,31.938,1590.27,10
100,2,8,17,1700,4.310,1693.64,10
100,2,8,18,1800,14.011,1794.70,10
100,2,8,19,1900,944.831,1786.05,10
100,2,8,20,2000,9.689,1926.82,10
100,2,8,21,2100,6.632,2096.20,10
100,2,8,22,2200,22.699,2193.15,10
100,2,8,23,2300,526.619,2218.38,10
100,2,8,24,2400,686.533,2223.59,10
100,2,8,25,2500,1042.607,2343.42,10
100,2,8,26,2600,2349.558,2263.39,10
100,2,9,1,100,5.506,99.98,10
100,2,9,2,200,4.776,199.69,10
100,2,9,3,300,3.986,298.59,10
100,2,9,4,400,3.885,397.23,10
100,2,9,5,500,3.852,499.35,10
100,2,9,6,600,3.728,596.29,10
100,2,9,7,700,3.772,692.27,10
100,2,9,8,800,7.655,796.22,10
100,2,9,9,900,3.801,895.05,10
100,2,9,10,1000,15.297,997.68,10
100,2,9,11,1100,3.817,1096.04,10
100,2,9,12,1200,3.899,1193.45,10
100,2,9,13,1300,6.585,1293.25,10
100,2,9,14,1400,6.306,1395.34,10
100,2,9,15,1500,4.084,1491.42,10
100,2,9,16,1600,8.279,1591.30,10
100,2,9,17,1700,4.479,1693.64,10
100,2,9,18,1800,7.129,1794.83,10
100,2,9,19,1900,7.458,1893.42,10
100,2,9,20,2000,9.257,1992.20,10
100,2,9,21,2100,13.754,2092.81,10
100,2,9,22,2200,1820.370,1922.75,10
100,2,9,23,2300,28.390,2219.69,10
100,2,9,24,2400,1040.616,2261.50,10
100,2,9,25,2500,1625.122,2188.40,10
100,2,9,26,2600,2194.808,2173.82,10
100,2,10,1,100,5.474,99.99,10
100,2,10,2,200,4.919,199.70,10
