perc,nbn,sample,conn,load,meanLat,reqPerSec
25,12,5,1,21,65.796,22.43
25,12,5,1,41,395.184,40.77
25,12,5,1,61,7834.841,38.59
25,12,5,1,81,14703.275,40.03
25,12,5,1,101,16438.602,19.17
25,12,5,1,121,17903.011,23.63
25,12,5,1,141,16827.963,24.71
25,12,5,1,161,18731.729,21.97
25,12,5,1,181,18436.392,17.72
25,12,5,1,201,18323.562,15.53
25,12,5,1,221,20118.999,13.57
25,12,5,1,241,19831.366,15.29
25,12,5,1,261,18606.715,16.49
25,12,5,1,281,18107.522,9.16
25,12,5,1,301,18832.285,8.63
30,1,1,1,1,36.346,1.06
30,1,1,1,21,483.564,21.90
30,1,1,1,41,7000.300,28.39
30,1,1,1,61,9721.493,36.89
30,1,1,1,81,14228.901,35.49
30,1,1,1,101,16894.963,16.89
30,1,1,1,121,17494.468,12.59
30,1,1,1,141,18261.768,10.59
30,1,1,1,161,18738.549,10.85
30,1,1,1,181,18395.212,9.33
30,1,1,1,201,19780.303,5.90
30,1,1,1,221,20011.908,6.16
30,1,1,1,241,19629.140,4.56
30,1,1,1,261,19647.888,4.96
30,1,1,1,281,20032.726,4.79
30,1,1,1,301,19968.422,4.65
30,1,2,1,1,30.478,1.07
30,1,2,1,21,143.198,22.50
30,1,2,1,41,1212.154,41.31
30,1,2,1,61,5717.134,44.82
30,1,2,1,81,11585.086,40.18
30,1,2,1,101,15982.601,30.43
30,1,2,1,121,16359.925,26.06
30,1,2,1,141,17729.867,21.18
30,1,2,1,161,19358.548,16.75
30,1,2,1,181,17445.347,20.49
30,1,2,1,201,19569.706,15.70
30,1,2,1,221,18321.130,10.72
30,1,2,1,241,18361.224,6.63
30,1,2,1,261,19660.776,7.17
30,1,2,1,281,19680.888,4.72
30,1,2,1,301,19552.381,5.99
30,1,3,1,1,13.589,1.06
30,1,3,1,21,12.157,22.50
30,1,3,1,41,157.086,42.29
30,1,3,1,61,12463.303,31.75
30,1,3,1,81,14804.222,22.79
30,1,3,1,101,15014.006,24.92
30,1,3,1,121,18759.502,14.42
30,1,3,1,141,18939.062,10.13
30,1,3,1,161,19239.248,13.06
30,1,3,1,181,17676.774,14.53
30,1,3,1,201,19886.292,7.96
30,1,3,1,221,19906.473,8.39
30,1,3,1,241,18927.017,9.55
30,1,3,1,261,19348.580,7.50
30,1,3,1,281,19801.932,9.70
30,1,3,1,301,19330.659,11.33
30,1,4,1,1,13.576,1.07
30,1,4,1,21,47.836,22.50
30,1,4,1,41,400.249,42.20
30,1,4,1,61,306.306,61.41
30,1,4,1,81,5558.385,48.88
30,1,4,1,101,15529.574,26.46
30,1,4,1,121,17388.449,22.26
30,1,4,1,141,18823.314,12.66
30,1,4,1,161,18294.884,10.79
30,1,4,1,181,19148.890,7.03
30,1,4,1,201,19242.975,6.06
30,1,4,1,221,20691.224,6.70
30,1,4,1,241,19545.940,5.03
30,1,4,1,261,19225.496,5.03
